Paper Title,Author,Journal/Conference,Publish Date,Citation Count,Selection Rationale,Keywords,Abstract,Paper URL
The Last Harness You'll Ever Build,"Haebin Seong, Li Yin, Haoran Zhang, Zhan Shi",,2026-04-22,0,"HSIL 전체 루프와 직접 공명: Worker→Evaluator→Evolution Agent 3자구조의 폐루프가 HSIL의 ATTRIB→MINE→PROPOSE 단계와 정합하며, Meta-Evolution Loop는 MERGE의 상위 수준 자동화와 대응됨. Evolution Agent가 'failure patterns를 식별→분류→수정'하는 메커니즘이 HSIL의 MINE→PROPOSE와 정확히 대응.",HSIL/harness evolution loop/meta-evolution/failure patterns,"Evaluation Protocol
Generalization is evaluated on : given a new, unseen task, how quickly does the inner harness evolution loop—configured with the learned —produce a high-performing worker harness? The key metrics are: Convergence speed: number of inner-loop iterations to reach a target performance threshold. Final performance: task pass rate after a fixed number of iterations. Robustness: variance in convergence speed across different meta-test tasks. A well-optimized should enable the harness evolution loop to rapidly adapt to any novel task—producing effective worker harnesses with fewer iterations and less compute than a manually designed harness evolution loop.",https://arxiv.org/abs/2604.21003
HARBOR: Automated Harness Optimization,"Biswa Sengupta, Jinhua Wang",arXiv.org,2026-04-22,0,"하네스 플래그 공간을 베이지안 최적화로 자동 탐색하는 AHO 프레임워크. 수동 튜닝의 4라운드 중 단 1승(나머지 회귀)이라는 부정 사례가 REGRESS 단계의 필수성을 실증하고,管线 내부 텔레메트리 카운터로 버그를 자동 검출하는 메커니즘이 ATTRIB과 공명함.",AHO/harness optimization/feature flags/regression,"Long-horizon language-model agents are dominated, in lines of code and in operational complexity, not by their underlying model but by the harness that wraps it: context compaction, tool caching, semantic memory, trajectory reuse, speculative tool prediction, and the glue that binds the model to a sandboxed execution environment. We argue that harness design is a first-class machine-learning problem and that automated configuration search dominates manual stacking once the flag space exceeds a handful of bits. We defend this claim in two steps. First, we formalize automated harness optimization as constrained noisy Bayesian optimization over a mixed-variable, cost-heterogeneous configuration space with cold-start-corrected rewards and a posterior chance-constrained safety check, and give a reference solver, HARBOR (Harness Axis-aligned Regularized Bayesian Optimization Routine), built from a block-additive SAAS surrogate, multi-fidelity cost-aware acquisition, and TuRBO trust regions. Second, we instantiate the problem in a flag-gated harness over a production coding agent and report a controlled four-round manual-tuning case study against a fixed task suite and an end-to-end HARBOR run. The formulation itself is task-class agnostic: the configuration space, reward correction, acquisition, and safety check apply to any agent harness with a bounded flag space and a reproducible task suite.",https://arxiv.org/abs/2604.20938
Who is Introducing the Failure? Automatically Attributing Failures of Multi-Agent Systems via Spectrum Analysis,"Ge Yu, Linna Xie, Zhonghui Li, Yu Pei, Tian Zhang",ArXiv.org,2025-09-17,8,다중 에이전트 시스템에서 실패를 특정 에이전트에 귀속시키는 spectrum analysis 기법. HSIL ATTRIB 단계가 '어떤 하네스 컴포넌트가 실패를 유발했는가'를 귀속하는 것과 직접 대응됨.,failure attribution/spectrum analysis/multi-agent,"1 2 3

123
the plan to acquire information related to the query step Orch request WebSurfer search the paper and locate the specific volume of the fish bag step Orch request WebSurfer follow the link and locate the specific volume of the fish bag step 4 Web type 'University of Leicester paper 'Can Hiccup Supply Enough Fish to Maintain a Dragon's Diet?'' show the metadata extracted from the webpage after type action step Web click 'Can Hiccup Supply Enough Fish to Maintain a Dragon's Diet?' show the metadata extracted from the webpage after click action step 5 . . . . . .Web type 'University of Leicester paper Can Hiccup Supply Enough Fish to Maintain a Dragon's Diet' show the metadata extracted from the webpage after type action.(similar to step 3) step 21 Web click 'PDF' show the metadata extracted from the webpage after click action.step 25 Orch request FileSurfer search the downloaded PDF for the keywords 'volume of fish bag', 'm^3' step 26 Occuered 'Error processing publish message\' reached the exception limit and terminate the task Web Orch File used agents File address: file:///workspace/Downloads/733-Article.pdf## Error 40 File not found: /workspace/Downloads/733-Article.pdf""step 11 Orch new plan summary the fact acquired and establish the new plan step 17 . . . . . . . . . . . . . . . . . .(a) A failed execution trajectory where multiple agents collaborate but the task does not reach the correct outcome.Four additional runs of the same task, including two failures and two successes.",https://arxiv.org/abs/2509.13782
On The Statistical Limits of Self-Improving Agents,"Chen Wang, Keir Dorchen, Peter Jin",arXiv (Cornell University),2025-10-05,0,자가개선 에이전트의 학습가능성 경계를 VC 차원으로 증명: policy-reachable family의 용량이 유계일 때만 PAC 보존. Two-Gate 정책(검증 마진 τ + 용량 상한 K[m])은 HSIL REGRESS의 held-in/held-out 검증과 이론적으로 정합함.,learnability boundary/Two-Gate/capacity cap/self-improvement,"1


arXiv:2510.04399v2 [cs.AI] 1 Feb 2026 Our Contributions.




Proof.Immediate by reduction to Section 4. Apply the representational boundary theorem, Theorem 1, to the induced set H Z reach [u].Reference family and proxy-cap subfamily.Fix a single parameterized super-family G ⊆ Y X that contains every induced class: H[Z] ⊆ G for all Z.For K ∈ N define the proxy-cap subfamily




Proposition 7. Proxy-cap sufficiency If B[Z] ≥ VC[H[Z]] for all Z and the capacity gate enforces B[Z new ] ≤ K[m], then the Two-Gate guarantee holds with",https://arxiv.org/abs/2510.04399
TDAD: Test-Driven Agentic Development - Reducing Code Regressions in AI Coding Agents via Graph-Based Impact Analysis,"Pepe Alonso, Sergio Yovine, Victor Braberman",ArXiv.org,2026-03-18,0,"에이전트 패치가 기존 통과 테스트를 얼마나 깨뜨리는지(P→F flip)를 회귀 메트릭으로 격상시킴.그래프 기반 impact analysis로 사전 검증→자가수정 루프까지 포함. HSIL REGRESS 단계의 '기존 케이스 퇴행 방지'와 프로토콜이 정확히 일치하며, 자가개선 루프(12%→60%, 0% 회귀)도 보고함.",regression testing/flip-centered gating/impact analysis,"Introduction
1Introduction Large-language-model (LLM) based coding agents have demonstrated impressive ability to resolve real-world software issues. On SWE-bench Verified [jimenez2024swebench], state-of-the-art agents resolve over 70% of GitHub issues from popular open-source repositories. Evaluation, however, centers almost exclusively on resolution rate: the fraction of issues for which the agent’s patch passes the issue-specific tests. A complementary question—how many previously-passing tests does the patch break?—receives far less attention, despite recent evidence that regressions and CI/CD failures are a leading cause of rejected agent-authored pull requests [metr2026swebench, ehsani2026agentfail]. Regressions are hard to prevent without dependency awareness. An agent can either run all tests (too slow for large codebases) or run only tests near the changed files (missing indirect dependencies). This problem parallels classical regression test selection (RTS) [elbaum2014techniques, legunsen2016extensive], but the agentic context introduces novel requirements: changes are generated programmatically, the agent has a limited context window, and test verification must happen before submission rather than in a CI pipeline afterward. In the baseline experiments, a vanilla agent caused 562 pass-to-pass (P2P) test failures across 100 instances—an average of 6.5 broken tests per generated patch. The SWE-bench evaluation harness already collects the data needed to measure regressions: the PASS_TO_PASS test set records tests that passed before the gold patch and should still pass afterward. Yet this data is not surfaced in leaderboard rankings. Recent evidence reinforces this concern: METR [metr2026swebench] found that roughly half of SWE-bench-passing patches would not be merged by real maintainers, and Ehsani et al. [ehsani2026agentfail] show that CI/CD failures are a leading cause of rejected agent-authored pull requests. Regression rate deserves first-class status alongside resolution rate. This paper presents TDAD (Test-Driven Agentic Development), an open-source tool that performs pre-change impact analysis for AI coding agents. TDAD builds a dependency map between source code and tests so that before committing a patch, the agent knows exactly which tests to verify and can self-correct (Figure ). The key insight is that agents do not need to be told how to do TDD; they need to be told which tests to check. At runtime the agent needs only grep and pytest—no graph database, MCP server, or API calls. The evaluation spans two phases on SWE-bench Verified—a controlled comparison on 100 instances with a single model, followed by a generalization study with a different model and agent framework—yielding four key findings: 70% regression reduction. In Phase 1 (100 instances, Qwen3-Coder 30B, single-agent setup), TDAD reduced test-level regression rate from 6.08% to 1.82% (562 155 P2P failures). TDD Prompting Paradox. In the same Phase 1 setup, an ablation adding TDD procedural instructions (write tests first, then implement) without telling the agent which specific tests to check actually increased regressions to 9.94%—worse than vanilla. Procedural instructions without targeted context are counterproductive. Resolution improvement as agent skill. In Phase 2 (25 instances, different model Qwen3.5-35B-A3B + OpenCode agent), TDAD improved resolution from 24% to 32% and generation from 40% to 68%, confirming generalization beyond the original setup. Autonomous self-improvement. An auto-improvement loop (10-instance subset) iteratively refined TDAD’s own configuration, raising resolution from 12% to 60% with 0% regression. Contributions. (1) An open-source tool for graph-based test impact analysis (pip install tdad); (2) a benchmark methodology elevating regression rate to a first-class metric; (3) empirical evidence across two models and agent frameworks; (4) an autonomous auto-improvement loop for iterative tool refinement; (5) all code, data, and 28 experiments released under MIT license.",https://arxiv.org/abs/2603.17973
AgentAssay: Token-Efficient Regression Testing for Non-Deterministic AI Agent Workflows,Varun Pratap Bhardwaj,arXiv (Cornell University),2026-03-03,0,"비결정론적 에이전트 워크플로를 위한 최초의 토큰 효율적 회귀 테스트 프레임워크. 3치 판정(Pass/Fail/Inconclusive), 행동 지문(fingerprinting), SPRT 적응 등은 HSIL REGRESS의 통계적 회귀 검증과 정합함. 행동 지문이 86% 검출력을 보이는 반면 이진 판정은 0%였음.",regression testing/stochastic verdicts/behavioral fingerprinting,"Autonomous AI agents are deployed at unprecedented scale, yet no principled methodology exists for verifying that an agent has not regressed after changes to its prompts, tools, models, or orchestration logic. We present AgentAssay, the first token-efficient framework for regression testing non-deterministic AI agent workflows, achieving 78-100% cost reduction while maintaining rigorous statistical guarantees. Our contributions include: (1) stochastic three-valued verdicts (PASS/FAIL/INCONCLUSIVE) grounded in hypothesis testing; (2) five-dimensional agent coverage metrics; (3) agent-specific mutation testing operators; (4) metamorphic relations for agent workflows; (5) CI/CD deployment gates as statistical decision procedures; (6) behavioral fingerprinting that maps execution traces to compact vectors, enabling multivariate regression detection; (7) adaptive budget optimization calibrating trial counts to behavioral variance; and (8) trace-first offline analysis enabling zero-cost testing on production traces. Experiments across 5 models (GPT-5.2, Claude Sonnet 4.6, Mistral-Large-3, Llama-4-Maverick, Phi-4), 3 scenarios, and 7,605 trials demonstrate that behavioral fingerprinting achieves 86% detection power where binary testing has 0%, SPRT reduces trials by 78%, and the full pipeline achieves 100% cost savings through trace-first analysis. Implementation: 20,000+ lines of Python, 751 tests, 10 framework adapters.",https://arxiv.org/abs/2603.02601
SGM: A Statistical Godel Machine for Risk-Controlled Recursive Self-Modification,"Xuening Wu, S. Yin, Yanlan Kang, Xiong Zhang, Qinghong Xu, Zhiyuan Chen, Wenqiang Zhang",ArXiv.org,2025-10-11,1,"재귀적 자기수정을 위한 최초의 통계적 안전 계층. 전역 오류 예산으로 유해 변경 채택 확률을 상한 제어하며, 채택된 수정만 incumbent로 승격.HSIL REGRESS + MERGE의 '안전한 변경만 병합' 원칙과 정합함.",statistical safety/recursive self-modification/error budget,"Introduction


Recursive self-modification has often been discussed as a cornerstone for building continually improving ML systems (Yampolskiy, 2015). Modern ML already hints at this trend: reinforcement learning agents tune hyperparameters online, AutoML loops search over training recipes, and optimization pipelines reconfigure code and settings during runs. Yet these procedures often adopt changes on the basis of noisy gains, creating the risk of harmful edits -modifications that seems beneficial in finite trials but ultimately degrade true performance. Such risks are especially concerning in high-stakes scientific domains such as drug design, protein engineering, or climate modeling, where spurious gains can misdirect costly pipelines. 

Gödel machines (Schmidhuber, 2007) offer a conceptually clean answer: an agent rewrites its code only when it can prove the rewrite increases expected utility. But in stochastic, high-dimensional ML, such formal proofs are unattainable. At the other extreme, practical AutoML and RL systems adopt edits using heuristics such as rolling averages, best-of-seeds, or bandit rules, which lack guarantees and may silently accumulate regressions. This gap motivates our question: Figure 1: SGM architecture: At each round t, the Proposer (Π) generates a candidate θ ′ t , which is compared to the current Incumbent (θ t ) by the Evaluation Harness (H). The SGM Gate (G) then applies statistical tests to certify or reject the edit, ensuring risk-controlled acceptance with bounded error probability. If certified, the incumbent is updated; otherwise, the system remains unchanged. 

Can we provide a principled safety layer for recursive edits, ensuring that self-modification proceeds only when supported by rigorous statistical evidence? 

We introduce the Statistical Gödel Machine (SGM), which establishes the first statistical safety layer for recursive self-modification. Instead of demanding logical proofs, SGM admits a modification only when statistical certificates certify superiority at a chosen confidence level. To remain safe across many rounds, SGM allocates a global error budget using union-bound splits or anytime spending rules (e.g., e-values), bounding the probability of ever adopting a harmful change. Importantly, SGM is not designed to generate stronger proposals, but to serve as a risk-control framework that can wrap around arbitrary proposers, consistently filtering noise while preserving genuine progress. 

Unlike standard sequential testing or online false discovery rate (FDR) methods, SGM governs irreversible commits: each accepted edit rewrites the incumbent and persists into future rounds, requiring error control across an open-ended sequence. 

We evaluate SGM across reinforcement learning, black-box optimization, and supervised learning. On CIFAR-100, SGM certified a genuine +5.5pp gain under a 30-seed stress test, while on ImageNet-100 it correctly rejected a seemingly promising edit that failed confirmation. These results highlight SGM's role as a reusable risk-control layer for self-improving ML pipelines.",https://arxiv.org/abs/2510.10232
Agentic Context Engineering: Evolving Contexts for Self-Improving Language Models,"Qizheng Zhang, Changran Hu, Shubhangi Upasani, Boyuan Ma, Feng-Lei Hong, Vamsidhar Kamanuru, Jay Rainton, Wu Chen, Mengmeng Ji, Hanchen Li, Urmish Thakker, James Zou, Kunle Olukotun",ArXiv.org,2025-10-06,64,"컨텍스트를 '진화하는 플레이북'으로 처리하는 ACE 프레임워크. Generator/Reflector/Curator 3역할 분업이 HSIL PLAYBOOK 단계와 직접 대응. 증분 delta 업데이트, 유틸리티 카운터, 컨텍스트 붕괴 방지 메커니즘이 HSIL의 지식 누적 전략과 정합함.AppWorld +17.1%, 핀런스 +8.6% 개선.",playbook/agentic context engineering/incremental updates,"Table 3 :

3
Ablation Studies on AppWorld.We study how particular design choices of ACE (iterative refinement, multi-epoch adaptation, and offline warmup) could help high-quality context adaptation.
MethodLatency (s)↓ # Rollouts↓Method Latency (s)↓ Token Cost ($)↓ReAct + GEPA538981434DC (CU)6510417.7ReAct + ACE9517 (-82.3%)357 (-75.1%)ACE5503 (-91.5%)2.9 (-83.6%)(a) Offline (AppWorld).



[1,2],29]28]ontinuous Learning.Online and continuous learning are key research directions in machine learning for addressing issues like distribution shifts[19,24]and limited training data[21,37,60].ACE offers a flexible and efficient alternative to conventional model fine-tuning, as adapting contexts is generally cheaper than updating model weights[9,20,26,28].Moreover, because contexts are human-interpretable, ACE enables selective unlearning[8,10,29]-whether due to privacy or legal constraints[1,2], or when outdated or incorrect information is identified by domain experts.These are promising directions for future work, where ACE could play a central role in advancing continuous and responsible learning.




8. Once you have completed the task, make sure to call apis.supervisor.complete_task().If the task asked for some information, return it as the answer argument, i.e. call apis.supervisor.complete_task(answer=<answer>).Many tasks do not require an answer, so in those cases, just call apis.supervisor.complete_task()i.e.do not pass any argument.9.Treat the cheatsheet as a tool.Use only the parts that are relevant and applicable to your specific situation and task context, otherwise use your own judgement.You are an analysis expert tasked with answering questions using your knowledge, a curated playbook of strategies and insights and a reflection that goes over the diagnosis of all previous mistakes made while answering the question.Instructions: -Read the playbook carefully and apply relevant strategies, formulas, and insights -Pay attention to common mistakes listed in the playbook and avoid them -Show your reasoning step-by-step -Be concise but thorough in your analysis -If the playbook contains relevant code snippets or formulas, use them appropriately -Double-check your calculations and logic before providing the final answer Your output should be a json object, which contains the following fields: -reasoning: your chain of thought / reasoning / thinking process, detailed analysis and calculations -bullet_ids: each line in the playbook has a bullet_id.all bulletpoints in the playbook that's relevant, helpful for you to answer this question, you should include their bullet_id in this list -final_answer: your concise final answer
# To get a list of apps that are available to you.print(apis.api_docs.show_app_descriptions())# To get the list of apis under any app listed above, e.g. spotifyprint(apis.api_docs.show_api_descriptions(app_name='spotify'))# To get the specification of a particular api, e.g. spotify app's login apiprint(apis.api_docs.show_api_doc(app_name='spotify', api_name='login'))Playbook:{}Reflection:{}Question:{}Context:{}Answer in this exact JSON format:{""reasoning"": ""[Your chain of thought / reasoning / thinking process, detailed analysis and calculations]"",""bullet_ids"": [""calc-00001"", ""fin-00002""],""final_answer"": ""[Your concise final answer here]""}Using these APIs and cheatsheet, generate code to solve the actual task:My name is: {{ main_user.first_name }} {{ main_user.last_name }}. My personal email is {{ main_user.email }} and phone number is {{main_user.phone_number }}. Task: {{ input_str }}Figure 9: ACE Generator prompt on AppWorld
You are an expert AppWorld coding agent and educator.Your job is to diagnose the current trajectory: identify what went wrong (or could be better), grounded in execution feedback, API usage, unit test report, and ground truth when applicable.Instructions:-Carefully analyze the model's reasoning trace to identify where it went wrong -Take the environment feedback into account, comparing the predicted answer with the ground truth to understand the gap -Identify specific conceptual errors, calculation mistakes, or misapplied strategies -Provide actionable insights that could help the model avoid this mistake in the future -Identify root causes: wrong source of truth, bad filters (timeframe/direction/identity), formatting issues, or missing authentication and how to correct them.-Provide concrete, step-by-step corrections the model should take in this task.-Be specific about what the model should have done differently -You will receive bulletpoints that are part of playbook that's used by the generator to answer the question.-You need to analyze these bulletpoints, and give the tag for each bulletpoint, tag can be ['helpful', 'harmful', 'neutral'] (for the generator to generate the correct answer) -Explicitly curate from the environment feedback the output format/schema of APIs used when unclear or mismatched with expectations (e.g., apis.blah.show_contents()returns a list of content_ids (strings), not content objects)Inputs:Ground truth code (reference, known-correct): Ground Truth Code: [Code that uses apis.phone.search_contacts() to find roommates, then filters Venmo transactions] Generated Code: [Code that tries to identify roommates by parsing Venmo transaction descriptions using keywords like ""rent"", ""utilities""] Execution Error: AssertionError: Expected 1068.0 but got 79.0 Test Report: FAILED -Wrong total amount calculated due to incorrect roommate identification Response: {{ ""reasoning"": ""The generated code attempted to identify roommates by parsing Venmo transaction descriptions rather than using the authoritative Phone app contacts.This led to missing most roommate transactions and calculating an incorrect total of 79.0 instead of 1068.0."", ""error_identification"": ""The agent used unreliable heuristics (keyword matching in transaction descriptions) to identify roommates instead of the correct API (Phone contacts)."",""root_cause_analysis"": ""The agent misunderstood the data architecture -it assumed transaction descriptions contained reliable relationship information, when the Phone app is the authoritative source for contact relationships."",""correct_approach"": ""First authenticate with Phone app, use apis.phone.search_contacts() to identify contacts with 'roommate' relationship, then filter Venmo transactions by those specific contact emails/phone numbers."",""key_insight"": ""Always resolve identities from the correct source app -Phone app for relationships, never rely on transaction descriptions or other indirect heuristics which are unreliable.""GROUND_TRUTH_CODE_START}}Example 2:Ground Truth Code: [Code that uses proper while True pagination loop to get all Spotify playlists] Generated Code: [Code that uses for i in range(10)to paginate through playlists] Execution Error: None (code ran successfully) Test Report: FAILED -Expected 23 playlists but got 10 due to incomplete pagination Response: {{ ""reasoning"": ""The generated code used a fixed range loop (range(10)) for pagination instead of properly iterating until no more results are returned.This caused the agent to only collect the first 10 pages of playlists, missing 13 additional playlists that existed on later pages."",""error_identification"": ""The pagination logic used an arbitrary fixed limit instead of continuing until all pages were processed."",""root_cause_analysis"": ""The agent used a cautious approach with a fixed upper bound to avoid infinite loops, but this prevented complete data collection when the actual data exceeded the arbitrary limit."",""correct_approach"": ""Use while True loop with proper break condition: continue calling the API with incrementing page_index until the API returns empty results or null, then break."",""key_insight"": ""For pagination, always use while True loop instead of fixed range iterations to ensure complete data collection across all available pages.""Context: -The playbook you created will be used to help answering similar questions.-The reflection is generated using ground truth answers that will NOT be available when the playbook is being used.So you need to come up with content that can aid the playbook user to create predictions that likely align with ground truth.Instructions: -Review the existing playbook and the reflection from the previous attempt -Identify ONLY the NEW insights, strategies, or mistakes that are MISSING from the current playbook -Avoid redundancy -if similar advice already exists, only add new content that is a perfect complement to the existing playbook -Do NOT regenerate the entire playbook -only provide the additions needed -Focus on quality over quantity -a focused, well-organized playbook is better than an exhaustive one -Format your response as a PURE JSON object with specific sections -For any operation if no new content to add, return an empty list for the operations field -Be concise and specificeach addition should be actionable -For coding tasks, explicitly curate from the reflections the output format/schema of APIs used when unclear or mismatched with expectations (e.g., apis.blah.show_contents()returns a list of content_ids (strings), not content objects) Reflections: ""The agent used a fixed range loop for pagination instead of properly iterating through all pages until no more results are returned.This caused incomplete data collection.""Task Context (the actual task instruction): {question_context}Response:Your Task: Output ONLY a valid JSON object with these exact fields: -reasoning: your chain of thought / reasoning / thinking process, detailed analysis and calculationsoperations: a list of operations to be performed on the playbook -type: the type of operation to be performed -section: the section to add the bullet to -content: the new content of the bullet Available Operations: 1. ADD: Create new bullet points with fresh IDs -section: the section to add the new bullet to -content: the new content of the bullet.Note: no need to include the bullet_id in the content like '[ctx-00263] helpful=1 harmful=0 ::', the bullet_id will be added by the system.RESPONSE FORMAT -Output ONLY this JSON structure (no markdown, no code blocks):{ ""reasoning"": ""The reflection shows a critical error where the agent used unreliable heuristics (transaction descriptions) instead of the authoritative source (Phone app contacts) to identify relationships.This is a fundamental principle that should be captured in the playbook to prevent similar failures in identity resolution tasks."",""operations"": [ { ""type"": ""ADD"", ""section"": ""strategies_and_hard_rules"", ""content"": ""Always resolve identities from the correct source app\n-When you need to identify relationships (roommates, contacts, etc.), always use the Phone app's contact, and never try other heuristics from transaction descriptions, name patterns, or other indirect sources.These heuristics are unreliable and will cause incorrect results.""} ] } { ""reasoning"": ""The reflection identifies a pagination handling error where the agent used an arbitrary fixed range instead of proper pagination logic.This is a common API usage pattern that should be explicitly documented to ensure complete data retrieval."",""operations"": [ { ""type"": ""ADD"", ""section"": ""apis_to_use_for_specific_information"", ""content"": ""About pagination: many APIs return items in \""pages\"".Make sure to run through all the pages using while True loop instead of for i in range(10)",https://arxiv.org/abs/2510.04618
